,Date,Symbol,Side,Price,Realized Profit
589,2022-01-28 17:53:46,SOLUSDT,BUY,91.22625,-106.60000000000001
588,2022-01-28 13:31:12,SOLUSDT,SELL,88.0,0.0
587,2022-01-28 12:09:38,SOLUSDT,SELL,88.64750000000001,6.31
586,2022-01-28 00:44:30,SOLUSDT,BUY,88.45,0.0
585,2022-01-27 22:19:36,SOLUSDT,SELL,88.92,-110.98
584,2022-01-27 15:22:43,SOLUSDT,BUY,92.5,0.0
583,2022-01-27 15:19:31,SOLUSDT,BUY,92.34133333333334,-79.71
582,2022-01-27 03:44:40,SOLUSDT,SELL,90.0,0.0
581,2022-01-26 23:49:57,SOLUSDT,SELL,90.006,-152.79
580,2022-01-25 22:41:05,SOLUSDT,BUY,94.5,0.0
579,2022-01-25 01:14:11,SOLUSDT,SELL,92.0,245.0
578,2022-01-24 18:46:28,SOLUSDT,BUY,85.0,0.0
577,2022-01-24 01:12:43,SOLUSDT,BUY,100.84,-179.4
576,2022-01-23 21:14:21,SOLUSDT,SELL,95.238,0.0
575,2022-01-23 20:55:44,SOLUSDT,SELL,95.31333333333333,43.28
574,2022-01-23 01:23:31,SOLUSDT,BUY,94.0,0.0
573,2022-01-23 01:20:08,SOLUSDT,BUY,93.48,74.48
572,2022-01-22 17:20:27,SOLUSDT,BUY,94.8725,6.29
571,2022-01-22 17:17:43,SOLUSDT,SELL,95.0,0.0
570,2022-01-22 08:29:33,SOLUSDT,BUY,100.878,1115.73
569,2022-01-22 00:09:28,SOLUSDT,SELL,114.0,0.0
568,2022-01-22 00:09:27,SOLUSDT,SELL,114.0,0.0
567,2022-01-22 00:08:10,SOLUSDT,SELL,113.1,-30.6
566,2022-01-22 00:05:11,SOLUSDT,BUY,114.0,0.0
565,2022-01-21 23:50:26,SOLUSDT,SELL,109.72,-267.28
564,2022-01-21 15:35:43,SOLUSDT,SELL,117.05199999999999,-230.0
563,2022-01-21 14:10:40,SOLUSDT,BUY,120.0,0.0
562,2022-01-16 20:35:11,AAVEUSDT,SELL,236.79722222222225,-493.64899988
561,2022-01-16 16:06:02,AAVEUSDT,BUY,244.84647058823532,0.0
560,2022-01-16 16:05:50,AAVEUSDT,SELL,244.64124999999999,7.36799995
559,2022-01-16 16:04:00,AAVEUSDT,BUY,244.44916666666666,0.0
558,2022-01-16 15:58:37,AAVEUSDT,BUY,242.16083333333333,-198.97599994
557,2022-01-16 15:29:40,AAVEUSDT,SELL,237.24625,0.0
556,2022-01-16 15:26:34,AAVEUSDT,SELL,237.98125,-83.213
555,2022-01-16 14:43:01,AAVEUSDT,BUY,240.0,0.0
554,2022-01-16 14:42:32,SOLUSDT,SELL,148.256,-107.24999998
553,2022-01-16 12:30:31,SOLUSDT,BUY,149.82363636363635,0.0
552,2022-01-16 12:29:35,SOLUSDT,BUY,149.86555555555555,124.28
551,2022-01-13 17:54:45,SOLUSDT,SELL,151.79,0.0
550,2022-01-13 17:54:33,SOLUSDT,BUY,151.82,13.86
549,2022-01-13 17:50:34,SOLUSDT,SELL,152.48,0.0
548,2022-01-13 17:40:29,SOLUSDT,BUY,154.26749999999998,-226.76
547,2022-01-13 17:35:15,SOLUSDT,SELL,152.3,0.0
546,2022-01-13 17:33:20,SOLUSDT,SELL,152.21800000000002,-92.79
545,2022-01-13 17:19:15,SOLUSDT,BUY,153.0,0.0
544,2022-01-12 11:26:20,SOLUSDT,BUY,144.127,-201.70999995
543,2022-01-11 23:15:59,SOLUSDT,SELL,141.63625,0.0
542,2022-01-11 03:22:28,SOLUSDT,BUY,134.655,-32.78999997
541,2022-01-11 03:10:33,SOLUSDT,SELL,134.28,0.0
540,2022-01-11 03:10:32,SOLUSDT,SELL,134.28,0.0
539,2022-01-11 03:10:30,SOLUSDT,SELL,134.28,0.0
538,2022-01-11 03:10:29,SOLUSDT,SELL,134.28,0.0
537,2022-01-11 03:10:26,SOLUSDT,SELL,134.28,0.0
536,2022-01-11 03:10:25,SOLUSDT,SELL,134.28666666666666,0.0
535,2022-01-11 03:09:58,SOLUSDT,SELL,134.215,-68.83
534,2022-01-11 00:17:24,SOLUSDT,BUY,135.0,0.0
533,2022-01-11 00:14:36,SOLUSDT,BUY,135.79833333333332,-687.69999996
532,2022-01-10 19:34:31,SOLUSDT,SELL,131.893,0.0
531,2022-01-10 19:34:14,SOLUSDT,BUY,132.05645161290323,-198.29999985
530,2022-01-10 19:33:37,SOLUSDT,SELL,131.53071428571428,0.0
529,2022-01-10 19:33:25,SOLUSDT,BUY,131.50333333333333,53.809999950000005
528,2022-01-10 19:31:00,SOLUSDT,SELL,132.24666666666667,0.0
527,2022-01-10 19:30:27,SOLUSDT,BUY,132.04333333333332,95.87999994
526,2022-01-10 19:29:27,SOLUSDT,SELL,132.93846153846152,0.0
525,2022-01-10 19:29:18,SOLUSDT,SELL,132.72,-340.06999998
524,2022-01-10 18:54:46,SOLUSDT,BUY,135.733,0.0
523,2022-01-10 18:53:59,SOLUSDT,BUY,136.0225,401.52
522,2022-01-10 13:45:27,SOLUSDT,SELL,140.0,0.0
521,2022-01-10 01:57:34,SOLUSDT,SELL,140.726,-25.34999997
520,2022-01-10 01:45:30,SOLUSDT,BUY,140.97,0.0
519,2022-01-10 01:29:09,SOLUSDT,SELL,139.93,-538.60999998
518,2022-01-09 21:28:43,SOLUSDT,BUY,144.871,0.0
517,2022-01-09 21:23:05,SOLUSDT,BUY,144.20125,-91.87
516,2022-01-09 20:58:25,SOLUSDT,SELL,143.39,0.0
515,2022-01-09 20:43:49,SOLUSDT,SELL,143.80181818181816,-109.90999995
514,2022-01-09 20:18:43,SOLUSDT,BUY,144.767,0.0
513,2022-01-09 20:17:52,SOLUSDT,BUY,144.62833333333333,89.09999997
512,2022-01-08 14:25:39,SOLUSDT,SELL,145.42,0.0
511,2022-01-08 14:25:38,SOLUSDT,SELL,145.4257142857143,0.0
510,2022-01-07 05:06:48,SOLUSDT,SELL,143.68,-278.75999999
509,2022-01-07 02:50:24,SOLUSDT,BUY,146.05625,0.0
508,2022-01-07 02:11:04,SOLUSDT,SELL,149.12625,-345.16
507,2022-01-06 22:27:49,SOLUSDT,BUY,152.0,0.0
506,2022-01-06 22:27:48,SOLUSDT,BUY,152.0,0.0
505,2022-01-06 00:28:39,SOLUSDT,BUY,150.07,2095.59
504,2022-01-05 14:47:53,SOLUSDT,SELL,167.68,0.0
503,2022-01-05 14:47:52,SOLUSDT,SELL,167.68,0.0
502,2022-01-05 14:47:23,SOLUSDT,SELL,167.6585714285714,-289.18999999
501,2022-01-04 12:59:48,SOLUSDT,BUY,169.9335714285714,0.0
500,2022-01-03 00:51:05,AAVEUSDT,BUY,264.87333333333333,-245.807
499,2022-01-01 04:20:54,AAVEUSDT,BUY,261.5327272727273,-152.92000000000002
498,2021-12-31 21:04:26,AAVEUSDT,SELL,256.0,0.0
497,2021-12-31 21:04:25,AAVEUSDT,SELL,256.0,0.0
496,2021-12-31 21:03:55,AAVEUSDT,SELL,255.79928571428573,-198.211
495,2021-12-30 19:33:25,AAVEUSDT,BUY,259.27,0.0
494,2021-12-30 19:33:23,AAVEUSDT,BUY,259.27,0.0
493,2021-12-30 19:10:36,AAVEUSDT,BUY,256.286,401.05199994
492,2021-12-28 19:40:44,AAVEUSDT,SELL,268.18454545454546,0.0
491,2021-12-28 19:40:32,AAVEUSDT,BUY,268.24518518518516,-51.497
490,2021-12-28 19:38:05,AAVEUSDT,SELL,267.26,0.0
489,2021-12-28 19:37:37,AAVEUSDT,SELL,266.65285714285716,91.50399994
488,2021-12-26 15:57:13,AAVEUSDT,BUY,264.0,0.0
487,2021-12-26 15:51:26,AAVEUSDT,BUY,263.99,0.0
486,2021-12-26 15:34:49,AAVEUSDT,BUY,264.47,-362.627
485,2021-12-26 12:25:57,AAVEUSDT,SELL,255.0,0.0
484,2021-12-26 04:50:35,AAVEUSDT,SELL,254.56066666666666,-852.93599993
483,2021-12-24 19:59:19,AAVEUSDT,BUY,274.9657142857143,0.0
482,2021-12-24 00:32:21,AAVEUSDT,SELL,244.45846153846153,-100.457
481,2021-12-24 00:00:38,AAVEUSDT,BUY,246.56000000000003,0.0
480,2021-12-22 16:27:55,AAVEUSDT,BUY,209.36263157894737,-315.25899991
479,2021-12-22 14:49:47,AAVEUSDT,SELL,204.14333333333332,0.0
478,2021-12-22 13:27:32,AAVEUSDT,SELL,199.9375,833.608
477,2021-12-22 00:45:11,AAVEUSDT,BUY,185.5,0.0
476,2021-12-22 00:45:02,AAVEUSDT,BUY,185.5,0.0
475,2021-12-22 00:45:01,AAVEUSDT,BUY,185.5,0.0
474,2021-12-22 00:40:48,AAVEUSDT,BUY,185.5,0.0
473,2021-12-22 00:40:47,AAVEUSDT,BUY,185.5,0.0
472,2021-12-22 00:40:46,AAVEUSDT,BUY,185.5,0.0
471,2021-12-22 00:40:22,AAVEUSDT,BUY,185.5,0.0
470,2021-12-20 22:22:13,AAVEUSDT,SELL,180.00333333333333,625.48099996
469,2021-12-20 16:37:54,AAVEUSDT,BUY,168.85399999999998,0.0
468,2021-12-20 16:33:23,AAVEUSDT,SELL,167.77105263157895,-19.8
467,2021-12-20 16:25:08,AAVEUSDT,BUY,168.0,0.0
466,2021-12-20 02:16:03,AAVEUSDT,BUY,180.8709090909091,758.222
465,2021-12-18 20:18:19,AAVEUSDT,SELL,193.0,0.0
464,2021-12-18 20:18:13,AAVEUSDT,SELL,193.0,0.0
463,2021-12-18 20:18:08,AAVEUSDT,SELL,193.0,0.0
462,2021-12-18 20:18:02,AAVEUSDT,SELL,193.0,0.0
461,2021-12-18 20:14:59,AAVEUSDT,SELL,192.71076923076922,-81.588
460,2021-12-18 15:31:32,AAVEUSDT,BUY,194.0,0.0
459,2021-12-18 15:31:31,AAVEUSDT,BUY,194.0,0.0
458,2021-12-18 15:31:29,AAVEUSDT,BUY,194.0,0.0
457,2021-12-17 21:17:57,SANDUSDT,BUY,4.972141176470588,-125.91699989
456,2021-12-17 19:50:14,SANDUSDT,SELL,4.90015,0.0
455,2021-12-17 19:49:42,SANDUSDT,SELL,4.89368,-280.526
454,2021-12-17 19:00:26,SANDUSDT,BUY,5.05,0.0
453,2021-12-17 18:57:30,SANDUSDT,BUY,5.0,-147.5176
452,2021-12-17 18:49:53,SANDUSDT,SELL,4.9224,0.0
451,2021-12-17 18:48:39,SANDUSDT,SELL,4.922871428571428,-52.2221
450,2021-12-17 18:23:40,SANDUSDT,BUY,4.95,0.0
449,2021-12-17 18:23:39,SANDUSDT,BUY,4.95,0.0
448,2021-12-17 16:04:25,SANDUSDT,BUY,4.79962,263.6078
447,2021-12-16 19:33:50,SANDUSDT,SELL,5.1,0.0
446,2021-12-16 19:26:18,SANDUSDT,SELL,5.090025,-140.7772
445,2021-12-16 14:09:52,SANDUSDT,BUY,5.25,0.0
444,2021-12-16 13:57:11,SANDUSDT,BUY,5.265642857142857,-91.06939994
443,2021-12-16 12:48:37,SANDUSDT,SELL,5.232333333333333,0.0
442,2021-12-16 12:45:50,SANDUSDT,SELL,5.22965,-159.31779995000002
441,2021-12-16 12:18:42,SANDUSDT,BUY,5.286618181818182,0.0
440,2021-12-15 21:08:48,SANDUSDT,BUY,4.904379615384615,-247.68659988
439,2021-12-15 13:56:34,SANDUSDT,SELL,4.752121428571429,0.0
438,2021-12-15 13:56:17,SANDUSDT,SELL,4.750092857142858,-101.70769994
437,2021-12-14 23:52:02,SANDUSDT,BUY,4.7966875,0.0
436,2021-12-14 23:51:17,SANDUSDT,BUY,4.810275,-22.7326
435,2021-12-14 11:33:21,SANDUSDT,SELL,4.8,0.0
434,2021-12-14 08:08:51,SANDUSDT,SELL,4.644033333333334,-367.79650000000004
433,2021-12-13 21:23:32,SANDUSDT,BUY,4.8,0.0
432,2021-12-12 10:03:35,SANDUSDT,BUY,5.42089125,-271.13216
431,2021-12-12 09:51:43,SANDUSDT,SELL,5.3,0.0
430,2021-12-12 02:17:10,SANDUSDT,BUY,5.15105,-381.3845
429,2021-12-11 22:33:55,SANDUSDT,SELL,5.0,0.0
428,2021-12-11 22:33:54,SANDUSDT,SELL,5.0000333333333336,0.0
427,2021-12-11 22:32:22,SANDUSDT,SELL,4.988576,461.55978
426,2021-12-11 02:26:39,SANDUSDT,BUY,4.8,0.0
425,2021-12-07 23:15:17,SANDUSDT,BUY,5.336475,-82.18014
424,2021-12-07 22:42:45,SANDUSDT,SELL,5.3,0.0
423,2021-12-07 22:34:07,SANDUSDT,SELL,5.3133825,-555.98488
422,2021-12-07 17:03:06,SANDUSDT,BUY,5.55,0.0
421,2021-12-07 04:42:44,SANDUSDT,SELL,5.2977135,-257.62489
420,2021-12-06 23:51:06,SANDUSDT,BUY,5.400000000000001,0.0
419,2021-12-06 18:00:20,SANDUSDT,BUY,5.250681111111111,-276.14607
418,2021-12-06 10:03:26,SANDUSDT,SELL,5.15,0.0
417,2021-12-06 08:54:16,SANDUSDT,BUY,4.99,1341.78
416,2021-12-05 14:09:24,SANDUSDT,SELL,5.650000000000001,0.0
415,2021-12-05 01:31:34,SANDUSDT,SELL,6.031767666666666,59.90372
414,2021-12-05 00:20:24,SANDUSDT,BUY,6.0,0.0
413,2021-12-05 00:14:45,SANDUSDT,BUY,5.957703333333334,-56.27328
412,2021-12-04 23:55:15,SANDUSDT,SELL,5.9,0.0
